game_id,status,status_detail,date,season,home_team,away_team,home_team_score,away_team_score,location,venue,venue_id,attendance,game_type,headline_long,headline_short,home_team_abbr,home_team_id,home_team_winner,away_team_abbr,away_team_id,away_team_winner,playoff_series_summary,home_team_overall_record,home_team_home_record,home_team_away_record,away_team_overall_record,away_team_home_record,away_team_away_record
401585102,Final,Final/OT,2024-01-03,2024,Utah Jazz,Detroit Pistons,154.0,148.0,"Salt Lake City, UT",Delta Center,3093.0,,Regular Season,None,None,UTAH,26,true,DET,8,false,None,16-19,11-5,None,3-31,None,1-17
401585101,Final,Final,2024-01-03,2024,Phoenix Suns,LA Clippers,122.0,131.0,"Phoenix, AZ",Footprint Center,1949.0,,Regular Season,None,None,PHX,21,false,LAC,12,true,None,18-16,10-10,None,21-12,None,7-8
401585095,Final,Final,2024-01-03,2024,Atlanta Hawks,Oklahoma City Thunder,141.0,138.0,"Atlanta, GA",State Farm Arena,1827.0,,Regular Season,None,None,ATL,1,true,OKC,25,false,None,14-19,5-9,None,23-10,None,9-5
401585094,Final,Final,2024-01-03,2024,Indiana Pacers,Milwaukee Bucks,142.0,130.0,"Indianapolis, IN",Gainbridge Fieldhouse,2183.0,,Regular Season,None,None,IND,11,true,MIL,15,false,None,19-14,10-7,None,24-10,None,8-7
401585097,Final,Final,2024-01-03,2024,Houston Rockets,Brooklyn Nets,112.0,101.0,"Houston, TX",Toyota Center (Houston),1394.0,,Regular Season,None,None,HOU,10,true,BKN,17,false,None,17-15,14-5,None,15-20,None,6-12
401585096,Final,Final,2024-01-03,2024,New York Knicks,Chicago Bulls,116.0,100.0,"New York, NY",Madison Square Garden,1830.0,,Regular Season,None,None,NY,18,true,CHI,4,false,None,19-15,10-4,None,15-21,None,4-12
401585100,Final,Final,2024-01-03,2024,Dallas Mavericks,Portland Trail Blazers,126.0,97.0,"Dallas, TX",American Airlines Center,516.0,,Regular Season,None,None,DAL,6,true,POR,22,false,None,20-15,9-7,None,9-24,None,4-13
401585104,Final,Final/2OT,2024-01-03,2024,Sacramento Kings,Orlando Magic,138.0,135.0,"Sacramento, CA",Golden 1 Center,5310.0,,Regular Season,None,None,SAC,23,true,ORL,19,false,None,20-13,12-6,None,19-15,None,7-11
401585098,Final,Final,2024-01-03,2024,Memphis Grizzlies,Toronto Raptors,111.0,116.0,"Memphis, TN",FedExForum,1392.0,,Regular Season,None,None,MEM,29,false,TOR,28,true,None,11-23,3-13,None,14-20,None,5-11
401585103,Final,Final,2024-01-03,2024,Los Angeles Lakers,Miami Heat,96.0,110.0,"Los Angeles, CA",crypto.com Arena,1841.0,,Regular Season,None,None,LAL,13,false,MIA,14,true,None,17-18,11-5,None,20-14,None,11-8
401585093,Final,Final,2024-01-03,2024,Cleveland Cavaliers,Washington Wizards,140.0,101.0,"Cleveland, OH",Rocket Mortgage FieldHouse,3417.0,,Regular Season,None,None,CLE,5,true,WSH,27,false,None,19-15,10-8,None,6-27,None,3-16
401585099,Final,Final,2024-01-03,2024,Minnesota Timberwolves,New Orleans Pelicans,106.0,117.0,"Minneapolis, MN",Target Center,2029.0,,Regular Season,None,None,MIN,16,false,NO,3,true,None,24-9,14-2,None,21-14,None,9-7
