game_id,player_name,player_id,position,team_abbr,starter_flg,mp,fg,fgm,fga,fg3,fg3m,fg3a,ft,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,pts,dnp_reason
401585105,Sandro Mamukelashvili,4278580,PF,SA,false,3.0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,None
401585105,Andre Jackson Jr.,4432190,G ,MIL,false,5.0,0-0,0.0,0.0,0-0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,None
401585105,Blake Wesley,4683935,G ,SA,false,15.0,0-1,0.0,1.0,0-0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,None
401585106,Julian Strawther,4432181,G ,DEN,false,9.0,0-1,0.0,1.0,0-1,0.0,1.0,0-0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-6.0,0.0,None
401585105,Julian Champagnie,4592479,F ,SA,true,21.0,0-4,0.0,4.0,0-2,0.0,2.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-3.0,0.0,None
401585106,Zeke Nnaji,4431690,PF,DEN,false,6.0,1-1,1.0,1.0,0-0,0.0,0.0,0-0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,-3.0,2.0,None
401585106,Christian Braun,4431767,G ,DEN,false,18.0,1-4,1.0,4.0,0-2,0.0,2.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-5.0,2.0,None
401585106,Reggie Jackson,6443,PG,DEN,false,16.0,1-6,1.0,6.0,0-0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,-6.0,2.0,None
401585106,Trayce Jackson-Davis,4431684,F ,GS,false,21.0,2-4,2.0,4.0,0-0,0.0,0.0,0-0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,None
401585105,Dominick Barlow,4870562,F ,SA,false,15.0,3-3,3.0,3.0,0-0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,5.0,6.0,None
401585106,Michael Porter Jr.,4278104,SF,DEN,true,30.0,3-6,3.0,6.0,2-5,2.0,5.0,0-0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,None
401585105,MarJon Beauchamp,4432179,F ,MIL,false,17.0,3-8,3.0,8.0,2-4,2.0,4.0,0-0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,-7.0,8.0,None
401585105,Malik Beasley,3907822,SG,MIL,true,27.0,4-6,4.0,6.0,2-4,2.0,4.0,0-0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0,None
401585106,Kentavious Caldwell-Pope,2581018,SG,DEN,true,35.0,4-8,4.0,8.0,0-2,0.0,2.0,0-0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0,8.0,None
